date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:30	604978/604978	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:32%20GMT	https://hindi.news18.com/news/bihar/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/index.html	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:30	58816/58816	---M--	200	added ('OK')	image/jpeg	etag:%2263ff98fc-2e9c0%22	https://images.news18.com/ibnkhabar/uploads/2023/03/2590989_HYP_0_FEATURE1677666061317.jpg?im=FitAndFill,width=1200,height=900	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/2590989_HYP_0_FEATURE1677666061317c23d.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:30	384/384	---M--	200	added ('OK')	image/png	etag:%2264134e4e-24d4f%22	https://images.news18.com/ibnkhabar/uploads/2023/03/Matthieu-Ricard-happiness-16789868303x2.jpg?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/Matthieu-Ricard-happiness-16789868303x24b26.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:30	23142/23142	---M--	200	added ('OK')	image/jpeg	etag:%2264134e4e-24d4f%22	https://images.news18.com/ibnkhabar/uploads/2023/03/Matthieu-Ricard-happiness-16789868303x2.jpg?impolicy=website&width=300&height=200	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/Matthieu-Ricard-happiness-16789868303x20d2b.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:31	377/377	---M--	200	added ('OK')	image/png	etag:%226413407d-49bf5%22	https://images.news18.com/ibnkhabar/uploads/2023/03/NEPAL-CRICKET-16789832933x2.jpeg?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/NEPAL-CRICKET-16789832933x24b26.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:31	32357/32357	---M--	200	added ('OK')	image/jpeg	etag:%226413407d-49bf5%22	https://images.news18.com/ibnkhabar/uploads/2023/03/NEPAL-CRICKET-16789832933x2.jpeg?impolicy=website&width=300&height=200	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/NEPAL-CRICKET-16789832933x20d2b.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:31	371/371	---M--	200	added ('OK')	image/png	etag:%2264133b4f-1db0f%22	https://images.news18.com/ibnkhabar/uploads/2023/03/New-Zealand-Earthquake-16789819673x2.jpg?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/New-Zealand-Earthquake-16789819673x24b26.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:31	18424/18424	---M--	200	added ('OK')	image/jpeg	etag:%2264133b4f-1db0f%22	https://images.news18.com/ibnkhabar/uploads/2023/03/New-Zealand-Earthquake-16789819673x2.jpg?impolicy=website&width=300&height=200	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/New-Zealand-Earthquake-16789819673x20d2b.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:32	312/312	---M--	200	added ('OK')	image/gif	etag:%2264138b59-15128%22	https://images.news18.com/ibnkhabar/uploads/2023/03/1679002456_ac2ab44a-e0fb-4e97-bea1-990771041055-16790024573x2.jpeg?impolicy=website&width=102&height=68?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/1679002456_ac2ab44a-e0fb-4e97-bea1-990771041055-16790024573x272f8.gif	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:33	2987/2987	---M--	200	added ('OK')	image/jpeg	etag:%2264138b59-15128%22	https://images.news18.com/ibnkhabar/uploads/2023/03/1679002456_ac2ab44a-e0fb-4e97-bea1-990771041055-16790024573x2.jpeg?impolicy=website&width=102&height=68?impolicy=website&width=102&height=68	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/1679002456_ac2ab44a-e0fb-4e97-bea1-990771041055-16790024573x2a4e0.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
